
Year *,Year Start Population,Dropped Diagnoses,Added Diagnoses,Left System,Entered System, Net Growth,Net Growth %,Year EndPopulation

1986,2619,-139,162,-168,227,82,3.1 %,2701
1987,2701,-65,150,-133,291,243,9.0 %,2944
1988,2944,-41,146,-145,358,318,10.8 %,3262
1989,3262,-38,152,-154,407,367,11.3 %,3629
1990,3629,-33,120,-162,472,397,10.9 %,4026
1991,4026,-43,119,-142,486,420,10.4 %,4446
1992,4446,-28,80,-162,489,379,8.5 %,4825
1993,4825,-23,140,-256,760,621,12.9 %,5446
1994,5446,-28,115,-338,984,733,13.5 %,6179
1995,6179,-31,113,-358,1102,826,13.4 %,7005
1996,7005,-30,130,-392,1466,1174,16.8 %,8179
1997,8179,-44,221,-479,1710,1408,17.2 %,9587
1998,9587,-40,231,-545,2000,1646,17.2 %,11233
1999,11233,-46,284,-615,2198,1821,16.2 %,13054
2000,13054,-53,329,-547,2658,2387,18.3 %,15441
2001,15441,-59,372,-580,3286,3019,19.6 %,18460
2002,18460,-54,429,-687,3892,3580,19.4 %,22040
2003,22040,-60,443,-887,3484,2980,13.5 %,25020
2004,25020,-53,384,-1097,3792,3026,12.1 %,28046
2005,28046,-95,378,-1556,4239,2966,10.6 %,31012
2006,31012,-107,378,-1440,4813,3644,11.8 %,34656
